samples,features,estimators,accuracy,precision,f1-score,time
0.4,3,31,0.9994009693405217,0.9994009800200763,0.9994009684826108,0.7636735439300537
0.4,3,51,0.9995189602279947,0.9995189849044132,0.9995189566564975,1.3081326484680176
0.4,3,75,0.999382816896295,0.9993828208307136,0.9993828155151617,1.9200000762939453
0.4,3,99,0.999500807783768,0.9995008101193794,0.9995008083949447,2.650999069213867
0.4,4,3,0.9986385666830039,0.99863860030941,0.9986385587228006,0.11200857162475586
0.4,4,5,0.9991286826771225,0.9991288576515183,0.999128667278845,0.14800095558166504
0.4,4,7,0.9992103686761422,0.9992103896513829,0.9992103708625698,0.18500137329101562
0.4,4,11,0.9991922162319157,0.9991922330435095,0.9991922135358738,0.3130009174346924
0.4,4,21,0.9993737406741818,0.9993737538045827,0.9993737367467593,0.5620059967041016
0.4,4,31,0.9995098840058814,0.9995098865813914,0.9995098837802056,0.8560032844543457
0.4,4,51,0.9994463504510882,0.9994463591601109,0.9994463511377111,1.3649978637695312
0.4,4,75,0.9994463504510882,0.9994463548303008,0.9994463494634859,1.8259963989257812
0.4,4,99,0.9994645028953149,0.9994645121491184,0.9994645048318562,2.5659923553466797
0.4,5,3,0.9987656337925902,0.9987657342510138,0.9987656246642087,0.11799740791320801
0.4,5,5,0.9990288442338761,0.9990290080128165,0.9990288579143521,0.14999961853027344
0.4,5,7,0.9991559113434624,0.9991559181187507,0.9991559127241939,0.1949923038482666
0.4,5,11,0.999410045562635,0.999410068512306,0.999410046700249,0.313995361328125
0.4,5,21,0.999410045562635,0.999410047767487,0.9994100450523581,0.5550010204315186
0.4,5,31,0.9994735791174282,0.9994735845489192,0.9994735776529327,0.8020009994506836
0.4,5,51,0.9994554266732015,0.9994554283903376,0.9994554270288982,1.2570013999938965
0.4,5,75,0.9995371126722213,0.9995371185341062,0.9995371122663766,1.9470014572143555
0.4,5,99,0.999528036450108,0.9995280539520107,0.9995280352582411,2.4590229988098145
0.4,6,3,0.9985114995734176,0.9985115248800414,0.9985114951856858,0.09100627899169922
0.4,6,5,0.9991196064550092,0.9991196960062606,0.9991196217879872,0.1659867763519287
0.4,6,7,0.9992466735645955,0.9992466843461353,0.9992466704868123,0.2070000171661377
0.4,6,11,0.9992829784530487,0.9992830010897937,0.9992829776593789,0.32399535179138184
0.4,6,21,0.999410045562635,0.9994100980271367,0.9994100447222406,0.5440444946289062
0.4,6,31,0.999500807783768,0.9995008116806033,0.9995008067278813,0.7829916477203369
0.4,6,51,0.9994826553395415,0.9994826566249351,0.9994826549161451,1.331993818283081
0.4,6,75,0.9994372742289749,0.999437283329214,0.9994372751112103,1.8890001773834229
0.4,6,99,0.9995189602279947,0.9995189625089359,0.999518960033207,2.5110201835632324
0.4,7,3,0.9985114995734176,0.9985116013847865,0.9985115104100993,0.10099983215332031
0.4,7,5,0.9989743869011962,0.9989746287901042,0.9989744186173044,0.16700196266174316
0.4,7,7,0.9992194448982555,0.9992195407998528,0.9992194619337653,0.22200560569763184
0.4,7,11,0.9993555882299552,0.9993556406579305,0.9993555941027813,0.2870042324066162
0.4,7,21,0.9993918931184084,0.9993919008851427,0.9993918933340907,0.5429999828338623
0.4,7,31,0.9994463504510882,0.9994463497701411,0.999446349553973,0.8230037689208984
0.4,7,51,0.9994735791174282,0.9994735967351485,0.9994735807691786,1.3019921779632568
0.4,7,75,0.9994826553395415,0.9994826669922893,0.9994826543972583,1.8780016899108887
0.4,7,99,0.9994917315616548,0.9994917328303935,0.9994917314439494,2.436999559402466
0.4,8,3,0.9984479660186244,0.998448218668182,0.9984479538502233,0.08899950981140137
0.4,8,5,0.9991014540107825,0.9991014981147143,0.9991014521808239,0.1399996280670166
0.4,8,7,0.9991014540107825,0.9991014671384973,0.999101450057798,0.18700909614562988
0.4,8,11,0.9993011308972753,0.9993011460972517,0.9993011320765285,0.2820005416870117
0.4,8,21,0.9993737406741818,0.9993737453743202,0.9993737412352777,0.5169970989227295
0.4,8,31,0.9994191217847483,0.9994191208278256,0.9994191211671374,0.7329998016357422
0.4,8,51,0.9994554266732015,0.9994554348160892,0.999455426719059,1.1720001697540283
0.4,8,75,0.9994645028953149,0.9994645062263906,0.999464502334029,1.8950040340423584
0.4,8,99,0.9994554266732015,0.9994554281048224,0.9994554269682228,2.5569956302642822
0.5,1,3,0.9986476429051172,0.9986476755586092,0.9986476382548013,0.12200212478637695
0.5,1,5,0.999056072900216,0.999056089446041,0.9990560706831684,0.1730046272277832
0.5,1,7,0.9991831400098024,0.999183151302474,0.9991831310471359,0.2509951591491699
0.5,1,11,0.9993192833415019,0.9993193328897512,0.999319275858199,0.414996862411499
0.5,1,21,0.9993283595636152,0.9993284078844592,0.9993283549471343,0.708993673324585
0.5,1,31,0.9994281980068617,0.9994282188116544,0.9994281958638565,0.9889898300170898
0.5,1,51,0.9994009693405217,0.9994009800200763,0.9994009684826108,1.6539947986602783
0.5,1,75,0.9994735791174282,0.9994735912273403,0.99947357840387,2.2960000038146973
0.5,1,99,0.9995371126722213,0.9995371344781859,0.9995371110287133,3.130999803543091
0.5,2,3,0.9987565575704769,0.9987566473872167,0.9987565333053109,0.12502074241638184
0.5,2,5,0.9992829784530487,0.9992829947063218,0.999282969660971,0.14899849891662598
0.5,2,7,0.9993011308972753,0.9993011460334437,0.9993011285248873,0.20000243186950684
0.5,2,11,0.9993465120078419,0.9993465392412952,0.9993465151314858,0.363008975982666
0.5,2,21,0.9995189602279947,0.9995190119915047,0.9995189590342339,0.6159975528717041
0.5,2,31,0.9994735791174282,0.9994735803764644,0.9994735784117628,0.9729955196380615
0.5,2,51,0.999500807783768,0.9995008271345356,0.9995008054257661,1.5229907035827637
0.5,2,75,0.999528036450108,0.9995280392290594,0.9995280360504087,2.187992811203003
0.5,2,99,0.9994826553395415,0.9994826581248888,0.9994826546722991,2.9629907608032227
0.5,3,3,0.9987474813483636,0.9987475789409228,0.9987474722181378,0.10499334335327148
0.5,3,5,0.9992012924540289,0.9992014123165162,0.9992012939337744,0.14299917221069336
0.5,3,7,0.9991649875655757,0.9991649938780248,0.9991649822539094,0.18800616264343262
0.5,3,11,0.9993646644520685,0.9993646883255849,0.9993646638441138,0.31399965286254883
0.5,3,21,0.9994191217847483,0.9994191404447547,0.9994191211729312,0.5940005779266357
0.5,3,31,0.999500807783768,0.9995008132221835,0.9995008074946502,0.9009733200073242
0.5,3,51,0.9994735791174282,0.9994736025685339,0.9994735786930766,1.3759760856628418
0.5,3,75,0.9994735791174282,0.999473580836693,0.9994735792249879,1.8869998455047607
0.5,3,99,0.9994463504510882,0.9994463515916983,0.9994463489615524,2.5970075130462646
0.5,4,3,0.9988563960137232,0.998856461690175,0.9988563927202238,0.10100007057189941
0.5,4,5,0.9991377588992357,0.9991377822885017,0.9991377479133733,0.15200042724609375
0.5,4,7,0.9992466735645955,0.9992466724182225,0.999246671394828,0.20199370384216309
0.5,4,11,0.9993192833415019,0.9993192908949492,0.9993192855213568,0.29898953437805176
0.5,4,21,0.9994735791174282,0.9994735899711026,0.9994735773875757,0.590008020401001
0.5,4,31,0.999528036450108,0.9995280441770302,0.9995280347374587,0.8370063304901123
0.5,4,51,0.9995189602279947,0.9995189696903704,0.9995189596181702,1.302994728088379
0.5,4,75,0.9994645028953149,0.9994645071949696,0.9994645005811514,1.95701003074646
0.5,4,99,0.9994826553395415,0.9994826576000806,0.9994826551346024,2.446021795272827
0.5,5,3,0.9989834631233095,0.9989834670183037,0.9989834583055949,0.08800315856933594
0.5,5,5,0.9990651491223294,0.9990652435107165,0.9990651563939319,0.13499951362609863
0.5,5,7,0.999292054675162,0.9992920825781418,0.9992920486577015,0.21401119232177734
0.5,5,11,0.9993646644520685,0.9993646928560942,0.9993646619349419,0.3549966812133789
0.5,5,21,0.9993737406741818,0.9993737517661896,0.9993737390255464,0.5710060596466064
0.5,5,31,0.9995371126722213,0.9995371165564098,0.999537111944308,0.8100016117095947
0.5,5,51,0.9995461888943347,0.9995461896560783,0.9995461891633785,1.3529980182647705
0.5,5,75,0.9995643413385612,0.9995643496773907,0.9995643407526951,1.931985855102539
0.5,5,99,0.9994917315616548,0.9994917400607191,0.999491731284738,2.5240085124969482
0.5,6,3,0.9989108533464031,0.9989109167552538,0.998910834036646,0.08699393272399902
0.5,6,5,0.9990197680117627,0.9990198000002386,0.9990197547268883,0.14499831199645996
0.5,6,7,0.9993011308972753,0.9993011422770091,0.9993011312681065,0.1940011978149414
0.5,6,11,0.9993102071193887,0.9993102889167956,0.9993102008605234,0.2879951000213623
0.5,6,21,0.9994281980068617,0.9994282003866365,0.9994281987759691,0.6289937496185303
0.5,6,31,0.9994554266732015,0.999455446040932,0.9994554230109731,0.8239917755126953
0.5,6,51,0.9995552651164479,0.9995552715492995,0.9995552649959919,1.3989934921264648
0.5,6,75,0.999500807783768,0.9995008086597236,0.9995008071057897,2.0020012855529785
0.5,6,99,0.9995461888943347,0.9995461936380791,0.9995461892061601,2.825005292892456
0.5,7,3,0.9989108533464031,0.9989108556352337,0.9989108482962721,0.14200067520141602
0.5,7,5,0.999292054675162,0.9992921037084675,0.9992920524832261,0.16199731826782227
0.5,7,7,0.9993102071193887,0.9993102950842823,0.9993102052619357,0.22900676727294922
0.5,7,11,0.9992739022309354,0.999273930178748,0.9992739059812169,0.33399224281311035
0.5,7,21,0.9993737406741818,0.999373747545176,0.9993737407444367,0.49000000953674316
0.5,7,31,0.9995461888943347,0.9995461925210019,0.999546189701191,0.7550003528594971
0.5,7,51,0.9994826553395415,0.9994826707260599,0.999482654687746,1.3779971599578857
0.5,7,75,0.999528036450108,0.999528042264447,0.9995280348307756,2.14599871635437
0.5,7,99,0.9995824937827879,0.9995825026514739,0.9995824940363597,2.7530040740966797
0.5,8,3,0.9989562344569697,0.9989563396139138,0.9989562440232643,0.11300301551818848
0.5,8,5,0.9990833015665559,0.9990833002301156,0.9990832991099747,0.13399958610534668
0.5,8,7,0.9993374357857285,0.999337481278795,0.9993374402005187,0.21401739120483398
0.5,8,11,0.9993192833415019,0.9993192856773347,0.9993192828969218,0.32499217987060547
0.5,8,21,0.999410045562635,0.9994100877214686,0.9994100522668309,0.6029980182647705
0.5,8,31,0.9994645028953149,0.9994645413170282,0.9994645041435286,0.855003833770752
0.5,8,51,0.9994917315616548,0.9994917351295363,0.9994917312856626,1.28999924659729
0.5,8,75,0.9995098840058814,0.9995098875905916,0.9995098837382649,2.0129892826080322
0.5,8,99,0.9995824937827879,0.999582495174624,0.9995824934722923,2.5859999656677246
0.6,1,3,0.9986930240156837,0.9986932517197721,0.9986929982135079,0.1369953155517578
0.6,1,5,0.9990651491223294,0.999065181516384,0.9990651473642157,0.1790001392364502
0.6,1,7,0.999174063787689,0.9991740944186609,0.9991740547190128,0.2539994716644287
0.6,1,11,0.9993283595636152,0.9993283604608255,0.9993283589462829,0.3569962978363037
0.6,1,21,0.9994463504510882,0.9994463630022304,0.9994463503050421,0.667999267578125
0.6,1,31,0.9994372742289749,0.9994373113429161,0.9994372768211824,1.0479934215545654
0.6,1,51,0.9994645028953149,0.9994645043982316,0.999464502749705,1.7559998035430908
0.6,1,75,0.9994645028953149,0.9994645442562093,0.9994645003586322,2.456007957458496
0.6,1,99,0.9994735791174282,0.9994735902232513,0.9994735793802237,3.38800048828125
0.6,2,3,0.9989017771242897,0.998901779223926,0.9989017676869356,0.1060030460357666
0.6,2,5,0.9992557497867088,0.9992558263570795,0.9992557268809289,0.13499879837036133
0.6,2,7,0.9993555882299552,0.9993556482417717,0.9993555923292032,0.19099664688110352
0.6,2,11,0.9993737406741818,0.999373763619664,0.9993737422050933,0.34000062942504883
0.6,2,21,0.999528036450108,0.9995280621619076,0.9995280343864494,0.6929931640625
0.6,2,31,0.9994735791174282,0.9994735836909697,0.9994735781614001,1.0160081386566162
0.6,2,51,0.9995734175606745,0.9995734188739843,0.9995734180491576,1.4770071506500244
0.6,2,75,0.9995461888943347,0.9995461922817486,0.9995461889750934,2.247006416320801
0.6,2,99,0.9995915700049012,0.9995915750741369,0.9995915695309366,3.0789995193481445
0.6,3,3,0.9988927009021765,0.9988927066002241,0.998892701963295,0.09300637245178223
0.6,3,5,0.9991831400098024,0.9991831459547587,0.9991831374080593,0.1979844570159912
0.6,3,7,0.9993011308972753,0.9993011763089727,0.9993011270699657,0.2389986515045166
0.6,3,11,0.9994191217847483,0.9994191838010151,0.9994191189394027,0.30300164222717285
0.6,3,21,0.9994463504510882,0.9994463717621143,0.9994463501793684,0.6300070285797119
0.6,3,31,0.999500807783768,0.9995008148564946,0.9995008066585727,0.7530038356781006
0.6,3,51,0.9994917315616548,0.9994917366781637,0.9994917318603155,1.2689993381500244
0.6,3,75,0.9995371126722213,0.99953713271072,0.9995371127484751,1.8839900493621826
0.6,3,99,0.999500807783768,0.9995008098674019,0.9995008072127392,2.680006265640259
0.6,4,3,0.9990379204559894,0.9990380976231034,0.9990379353530782,0.11500287055969238
0.6,4,5,0.9992557497867088,0.9992558005076284,0.9992557402704644,0.13500428199768066
0.6,4,7,0.9993374357857285,0.9993374866239579,0.9993374325787497,0.19300460815429688
0.6,4,11,0.9994009693405217,0.9994009863008255,0.999400961002316,0.2919921875
0.6,4,21,0.9994191217847483,0.9994191290444548,0.9994191219360672,0.5209999084472656
0.6,4,31,0.9994372742289749,0.9994373151552894,0.9994372816170576,0.7849950790405273
0.6,4,51,0.9995189602279947,0.9995189814495875,0.9995189605482637,1.4469995498657227
0.6,4,75,0.9995098840058814,0.9995098843805841,0.9995098836903527,1.8559975624084473
0.6,4,99,0.9995734175606745,0.9995734242361652,0.9995734144466083,2.522007465362549
0.6,5,3,0.9990833015665559,0.9990833524551741,0.9990832982600234,0.08800840377807617
0.6,5,5,0.9993192833415019,0.9993192924275281,0.9993192833605262,0.14700794219970703
0.6,5,7,0.9993555882299552,0.9993555993463809,0.9993555850021834,0.19600343704223633
0.6,5,11,0.9994281980068617,0.9994282012006004,0.9994281970798692,0.288999080657959
0.6,5,21,0.9994917315616548,0.9994917372718987,0.9994917316211368,0.5469999313354492
0.6,5,31,0.999528036450108,0.9995280441488807,0.9995280349584663,0.7719967365264893
0.6,5,51,0.9995552651164479,0.9995552647733913,0.9995552641107565,1.232999324798584
0.6,5,75,0.999528036450108,0.999528037485664,0.9995280342980112,1.8649981021881104
0.6,5,99,0.9995643413385612,0.9995643414033696,0.9995643412317846,2.571000576019287
0.6,6,3,0.998938082012743,0.998938194329533,0.998938082283848,0.08999371528625488
0.6,6,5,0.9992375973424822,0.999237623019729,0.999237603172997,0.1450037956237793
0.6,6,7,0.999382816896295,0.9993828520209596,0.9993828112438979,0.19800066947937012
0.6,6,11,0.9994009693405217,0.9994009938594227,0.9994009663518437,0.2839996814727783
0.6,6,21,0.9995189602279947,0.9995189818667404,0.9995189605527758,0.5940048694610596
0.6,6,31,0.9995552651164479,0.9995552697493528,0.9995552644284994,0.7949929237365723
0.6,6,51,0.999528036450108,0.9995280456887677,0.9995280370435062,1.3239929676055908
0.6,6,75,0.9995734175606745,0.9995734176898086,0.9995734170685113,1.9460029602050781
0.6,6,99,0.9995371126722213,0.9995371229984225,0.9995371122590706,2.4539947509765625
0.6,7,3,0.999056072900216,0.9990560922570937,0.9990560771950198,0.09100031852722168
0.6,7,5,0.9992194448982555,0.9992195095238242,0.9992194449554426,0.13400650024414062
0.6,7,7,0.9993374357857285,0.9993375280051245,0.9993374491361163,0.1909949779510498
0.6,7,11,0.9993465120078419,0.999346517630813,0.9993465128085195,0.29200267791748047
0.6,7,21,0.999528036450108,0.9995280632623484,0.9995280359074763,0.5480756759643555
0.6,7,31,0.9995824937827879,0.9995824960897541,0.9995824945154244,0.8139936923980713
0.6,7,51,0.999528036450108,0.999528040051647,0.9995280361908673,1.2370014190673828
0.6,7,75,0.9995643413385612,0.9995643436227083,0.9995643414741706,1.8412542343139648
0.6,7,99,0.9995552651164479,0.9995552656084329,0.9995552642464326,2.4840002059936523
0.6,8,3,0.9988927009021765,0.9988929375986432,0.9988926972976924,0.08699822425842285
0.6,8,5,0.999292054675162,0.9992920590588646,0.9992920552702548,0.13399910926818848
0.6,8,7,0.999410045562635,0.9994100589315947,0.9994100426525446,0.18700170516967773
0.6,8,11,0.9993918931184084,0.9993919112331585,0.9993918989337118,0.2719995975494385
0.6,8,21,0.9994826553395415,0.99948267357198,0.9994826554173559,0.5179903507232666
0.6,8,31,0.9995371126722213,0.9995371130409816,0.9995371125227831,0.7749991416931152
0.6,8,51,0.9995189602279947,0.9995189790040918,0.9995189611570963,1.1150102615356445
0.6,8,75,0.9996097224491278,0.9996097379203673,0.9996097279664876,1.7440071105957031
0.6,8,99,0.9996097224491278,0.99960972728535,0.9996097228063704,2.262007474899292
0.75,1,3,0.998702100237797,0.9987021037539678,0.9987020937609083,0.10718560218811035
0.75,1,5,0.9990106917896495,0.99901082279365,0.9990106979246636,0.15184640884399414
0.75,1,7,0.999264826008822,0.9992648239586986,0.9992648242314052,0.22687792778015137
0.75,1,11,0.9992466735645955,0.9992466812538738,0.9992466713947517,0.3545844554901123
0.75,1,21,0.999410045562635,0.999410045512298,0.9994100450382122,0.5610003471374512
0.75,1,31,0.9993646644520685,0.999364665351268,0.9993646637075219,0.9400002956390381
0.75,1,51,0.9993737406741818,0.9993737471390658,0.9993737409044079,1.4940009117126465
0.75,1,75,0.9993283595636152,0.9993283668419806,0.9993283597409264,2.231571674346924
0.75,1,99,0.9993555882299552,0.9993555899750474,0.9993555877682053,2.975003480911255
0.75,2,3,0.9988563960137232,0.9988564208446381,0.9988563800230615,0.1230006217956543
0.75,2,5,0.999174063787689,0.9991740797690966,0.9991740612850887,0.14899682998657227
0.75,2,7,0.9991649875655757,0.9991650294293904,0.9991649852810022,0.21899747848510742
0.75,2,11,0.9992829784530487,0.9992829788091692,0.9992829782116704,0.33499741554260254
0.75,2,21,0.9993374357857285,0.9993374351318935,0.9993374352917165,0.5860002040863037
0.75,2,31,0.9993555882299552,0.9993555914420421,0.9993555866790711,0.86199951171875
0.75,2,51,0.9994463504510882,0.9994463514109759,0.9994463504317703,1.3809897899627686
0.75,2,75,0.9993737406741818,0.9993737460083781,0.9993737422327631,1.9549946784973145
0.75,2,99,0.999410045562635,0.9994100497977523,0.9994100460722704,2.689995050430298
0.75,3,3,0.9990469966781027,0.9990470475624436,0.9990470016224308,0.09099888801574707
0.75,3,5,0.9991014540107825,0.9991014569914257,0.9991014543931863,0.1419999599456787
0.75,3,7,0.9993465120078419,0.9993465194558108,0.9993465114869069,0.18600082397460938
0.75,3,11,0.9993374357857285,0.9993374449203086,0.9993374378342547,0.3110086917877197
0.75,3,21,0.9994735791174282,0.9994735803331813,0.9994735786639072,0.5378139019012451
0.75,3,31,0.999382816896295,0.9993828249395914,0.9993828183990418,0.7945466041564941
0.75,3,51,0.9993646644520685,0.9993646648858886,0.9993646643354035,1.2789998054504395
0.75,3,75,0.999382816896295,0.9993828280803646,0.9993828191407116,1.784989833831787
0.75,3,99,0.9994463504510882,0.9994463506543536,0.9994463501051845,2.359990119934082
0.75,4,3,0.9988836246800632,0.9988836211083271,0.9988836032240612,0.08900022506713867
0.75,4,5,0.9992285211203689,0.9992285270838615,0.9992285224242952,0.1360025405883789
0.75,4,7,0.9992739022309354,0.9992739296295247,0.9992739063789173,0.19099068641662598
0.75,4,11,0.9993102071193887,0.9993102103449232,0.9993102078366468,0.27900147438049316
0.75,4,21,0.9993374357857285,0.9993374492237249,0.9993374360731743,0.4399983882904053
